#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
182,Cedric Mullins,BAL,116,455,15,51,74,19,9.50%,22.20%,0.183,0.271,0.233,0.305,0.416,0.311,0.291,99,3.6,2.9,0.5,1.9
183,Ramón Urías,BAL,116,396,4,45,42,3,6.80%,25.50%,0.111,0.355,0.264,0.328,0.375,0.31,0.281,99,0.3,-0.4,-6.2,0.7
184,Michael Conforto,SFG,125,470,15,58,58,4,11.30%,22.60%,0.145,0.284,0.239,0.334,0.384,0.315,0.33,99,-1.2,-2,-6.2,0.8
185,Yoán Moncada,CHW,92,357,11,39,40,1,5.60%,30.00%,0.165,0.35,0.26,0.305,0.425,0.315,0.314,98,-0.6,-1.3,0.4,1.1
186,Jonathan India,CIN,119,529,17,78,61,14,9.80%,20.60%,0.163,0.281,0.244,0.338,0.407,0.327,0.339,98,2.6,1.6,-5.2,1.4
187,Jake Rogers,DET,107,365,21,47,49,1,7.70%,32.30%,0.224,0.268,0.221,0.286,0.444,0.312,0.321,98,-0.2,-1,14.5,2.6
188,José Caballero,SEA,104,280,4,37,26,26,10.00%,23.60%,0.1,0.285,0.221,0.343,0.32,0.305,0.299,98,3,2.4,6.7,1.9
189,Alex Verdugo,BOS,142,602,13,81,54,5,7.50%,15.40%,0.158,0.294,0.264,0.324,0.421,0.322,0.331,98,-0.5,-1.9,-4.4,1.4
190,Geraldo Perdomo,ARI,144,495,6,71,47,16,12.90%,17.40%,0.113,0.295,0.246,0.353,0.359,0.319,0.275,98,1.8,0.5,5.7,2.3
191,Mauricio Dubón,HOU,132,492,10,76,46,7,3.90%,14.20%,0.133,0.308,0.278,0.309,0.411,0.311,0.303,98,0.7,-0.8,2.4,1.9
192,Anthony Rizzo,NYY,99,421,12,45,41,0,8.30%,23.00%,0.134,0.298,0.244,0.328,0.378,0.312,0.319,97,-3.6,-5,-1.6,0.8
193,Travis Jankowski,TEX,107,287,1,34,30,19,12.20%,14.60%,0.069,0.311,0.263,0.357,0.332,0.312,0.302,97,3,2,-0.3,1.2
194,Byron Buxton,MIN,85,347,17,49,42,9,10.10%,31.40%,0.23,0.253,0.207,0.294,0.438,0.311,0.316,97,3.8,2.6,-8.6,0.6
195,Yan Gomes,CHC,116,419,10,44,63,1,5.00%,19.30%,0.141,0.309,0.267,0.315,0.408,0.312,0.321,97,-1,-2.5,-0.9,1.1
